id;sku;barcode;name;category;shape;retail_pack;wholesale_pack;description;stock_quantity;low_stock_alert;remarks;location;message;value
1;though;forenenst if;now unto;dependable after apropos;circulate;23883;6499;asset granular object;19696;26151;vice yahoo including;successfully;bah um;now hourly consequently
2;fooey athwart unaccountably;prohibition secularize yuck;inasmuch dearly spew;nicely moisten;freckle;26811;5688;waltz soupy between;30023;415;meh regarding;psst whether;after through charm;boo before charming
3;yum;neatly rust yum;tune-up;wring tattered;mobility violently;10673;30224;league where;21227;24904;hungrily whose nasalise;paltry;of;traditionalism
4;oof;aboard;warped character firsthand;mmm misappropriate;scornful jaggedly vacation;8854;7134;incidentally monster;7110;25255;agile provided;fellow;pixellate competent steep;apropos
5;humidity fondly;um structure;mathematics plump;gloss adumbrate denitrify;platter;14407;27961;but hydrant;1813;31650;aha confiscate iterate;curry mathematics unless;napkin;curse
6;gosh highly metal;quicker;divert;brr inside bah;if whoa;19897;16262;pinstripe;20566;19309;hefty;yowza ugh advanced;terribly reach hospitalization;including fooey
7;lest qua ack;aboard infatuated stunt;mostly;weary woot impure;than;31553;25193;emulsify;14644;17448;pish;apropos;role plus thorny;poorly wherever
8;provided;powerfully round calculus;instantly;how spherical politely;confirm foodstuffs;16586;20715;allegation;28604;2848;which;for fortunately essential;phooey;avow except
9;gladly;unto;misfire deeply but;amidst reschedule mob;requirement while;14464;11386;low whose who;25022;27123;extremely prioritize disadvantage;where unless fiercely;um aha extremely;yowza yum transplant
10;consequently;hastily trivial;reflate ugh bitterly;arrogantly;red;369;29203;distinct;12731;31974;because;or;gum;ew sneak
